Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMED,Amedisys Inc,241.25,4.63,1.96%,236.1,242.32,226.05,319200,3/5/2021
AMG,Affiliated Managers Group,139.31,4.27,3.16%,137.24,140.32,132.9,455000,3/5/2021
AMGN,Amgen Inc,227.73,5.82,2.62%,222.45,228.15,221.45,3021300,3/5/2021
AMH,American Homes 4 Rent,29.78,0.38,1.29%,29.58,29.86,28.63,3389200,3/5/2021
AMP,Ameriprise Financial Services,222.3,5.06,2.33%,221.26,223.3,213.9,958600,3/5/2021
AMT,American Tower Corp,200,-1.19,-0.59%,202.83,204.07,198.02,3455800,3/5/2021
AMWL,American Well Corp Cl A,21.34,-1.01,-4.52%,22.5,22.85,20.1,2977000,3/5/2021
AMZN,Amazon.com Inc,3000.46,22.89,0.77%,3005,3009,2881,5388500,3/5/2021
AN,Autonation Inc,85.81,6.65,8.40%,79.46,86.23,79.31,1549300,3/5/2021
ANAT,Amer Natl Insurance,95.8,0.7,0.74%,94.65,96.13,94.36,49200,3/5/2021
ANET,Arista Networks Inc,273.06,1.8,0.66%,271.91,274.56,262.08,791500,3/5/2021
ANSS,Ansys Inc,308.03,1.87,0.61%,311.93,312.57,292.79,940300,3/5/2021
ANTM,Anthem Inc,333.6,12.11,3.77%,323.72,335.78,322.75,1766400,3/5/2021
AON,AON Plc,232.76,6.72,2.97%,228.17,233.01,225.67,1322200,3/5/2021
AOS,Smith A.O. Corp,62.48,1.44,2.36%,61.73,62.57,61.09,1766400,3/5/2021
APA,Apa Corp,23.25,2.27,10.82%,22.09,23.3,21.02,13114600,3/5/2021
APD,Air Products and Chemicals,263.82,7.39,2.88%,258.12,264.63,255.41,861900,3/5/2021
APH,Amphenol Corp,61.56,-58.52,-48.73%,61.28,61.89,58.58,3589800,3/5/2021
APLE,Apple Hospitality REIT Inc,14.13,0.16,1.15%,14.12,14.25,13.47,2631300,3/5/2021
APO,Apollo Global Management Llc C,49.56,0,0.00%,49.98,50.1,47.69,1021200,3/5/2021
APTV,Aptiv Plc,146.17,-0.23,-0.16%,148.25,148.25,135.79,2952600,3/5/2021
ARD,Ardagh Group S.A.,25.41,0.52,2.09%,24.86,25.47,24.46,107600,3/5/2021
ARE,Alexandria Real Estate Equities,158.35,0.36,0.23%,158.53,158.98,154.37,1365900,3/5/2021
ARES,Ares Management LP,51.16,0.74,1.47%,50.86,51.21,47.77,937500,3/5/2021
ARMK,Aramark Holdings Corp,41.24,0.61,1.50%,41.18,41.69,39.1,4319800,3/5/2021
ARRY,Array Technologies Inc,34.22,-1.33,-3.74%,36.5,36.5,30.92,2781700,3/5/2021
ARW,Arrow Electronics,101.37,2.62,2.65%,100.24,101.81,96.74,569000,3/5/2021
ASB,Associated Banc-Corp,21.48,0.82,3.97%,21.17,21.49,20.48,1251400,3/5/2021
ASH,Ashland Global Holdings Inc,86.91,2.39,2.83%,85.49,87.21,83.4,555500,3/5/2021
ATH,Athene Holding Ltd,48.88,1.1,2.30%,48.71,49.09,46.88,992500,3/5/2021
ATO,Atmos Energy Corp,91.71,2.81,3.16%,88.93,92.64,88.93,1691600,3/5/2021
ATR,Aptargroup,134.09,3.69,2.83%,131.14,134.14,130.41,204600,3/5/2021
ATUS,Altice USA Inc Cl A,33.09,0.67,2.07%,32.49,33.28,32.1,4219700,3/5/2021
ATVI,Activision Blizzard,92.58,1.04,1.14%,92.2,93.39,90.32,8348700,3/5/2021
AVB,Avalonbay Communities,177.65,-0.4,-0.22%,178.9,180,174.85,1136500,3/5/2021
AVGO,Broadcom Ltd,450.14,6.55,1.48%,454.25,456,433,4241400,3/5/2021
AVLR,Avalara Inc,146.14,3.48,2.44%,144.02,146.33,135.06,1594900,3/5/2021
AVT,Avnet Inc,39,1.35,3.59%,38.17,39.03,36.6,1598300,3/5/2021
AVTR,Avantor Inc,27.32,0.44,1.64%,27.16,27.38,26.14,5709100,3/5/2021
AVY,Avery Dennison Corp,177.27,5.08,2.95%,174.93,177.96,168.72,592500,3/5/2021
AWI,Armstrong World Industries Inc,86.06,0.9,1.06%,85.92,86.55,83.37,420600,3/5/2021
AWK,American Water Works,136.01,1.04,0.77%,134.45,136.52,132.37,1720200,3/5/2021
AXON,Axon Enterprise Inc,143.04,-1.86,-1.28%,143.78,145,128.01,911200,3/5/2021
AXP,American Express Company,147.33,4.65,3.26%,144.66,147.96,142.08,5048300,3/5/2021
AXS,Axis Capital Holdings,50.03,0.88,1.79%,49.61,50.3,48.88,545500,3/5/2021
AXTA,Axalta Coating Systems Ltd,28.86,0.82,2.92%,28.4,28.95,27.99,2820200,3/5/2021
AYI,Acuity Brands Inc,126.21,3.98,3.26%,123.55,126.96,120.11,282200,3/5/2021
AYX,Alteryx Inc,83.14,-2.47,-2.89%,86.08,86.46,78.73,3522300,3/5/2021
AZEK,The Azek Company Inc Cl A,41.91,-0.25,-0.59%,41.81,42.08,38.66,1680400,3/5/2021
AZO,Autozone,1220.25,51.81,4.43%,1174.68,1225.69,1168,271200,3/5/2021
AZPN,Aspen Technology,149.5,1.14,0.77%,149.89,150.14,144.96,453900,3/5/2021
BA,Boeing Company,223.22,-1.49,-0.66%,229.01,229.92,213.8,20026500,3/5/2021
BAC,Bank of America Corp,36.93,0.43,1.18%,37.03,37.6,36.17,74292300,3/5/2021
BAH,Booz Allen Hamilton Holding Corp,76.75,0.07,0.09%,76.77,77.25,75.66,2052100,3/5/2021
BAX,Baxter International Inc,78.06,1.64,2.15%,76.91,78.3,76.83,2456300,3/5/2021
BBY,Best Buy Company,102.85,4.61,4.69%,99.61,103.2,97.29,5128100,3/5/2021
BC,Brunswick Corp,93.1,4.34,4.89%,90.77,93.42,87.74,585300,3/5/2021
BDN,Brandywine Realty Trust,12.93,0.27,2.13%,12.82,12.93,12.47,1573700,3/5/2021
BDX,Becton Dickinson and Company,246.45,5.57,2.31%,241.84,247.61,240.95,1105500,3/5/2021
