pi,ev,pe,evr / pm,0.202,3.15331,5.8275,9.94825,21.08482,39.5317,93.65682
0.000012,1114.000000,5.685544,3.917775,24.000000,22.000000,20.000000,15.000000,9.000000,0.000000,0.000000
0.000012,1114.000000,5.685544,1.810113,17.000000,16.000000,14.000000,10.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,5.685544,0.766252,9.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,5.685544,0.454205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,5.685544,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,4.414572,3811.102525,35.000000,33.000000,31.000000,22.000000,16.000000,14.000000,13.000000
0.000012,1114.000000,4.414572,9.633864,22.000000,21.000000,20.000000,14.000000,11.000000,9.000000,8.000000
0.000012,1114.000000,4.414572,3.917775,16.000000,15.000000,14.000000,9.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,4.414572,1.810113,12.000000,11.000000,10.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,4.414572,0.766252,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,4.414572,0.454205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,4.414572,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,3.175803,3811.102525,22.000000,20.000000,18.000000,11.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,3.175803,9.633864,13.000000,12.000000,11.000000,7.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,3.175803,3.917775,10.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,3.175803,1.810113,10.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,3.175803,0.766252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,3.175803,0.454205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,3.175803,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,2.108153,3811.102525,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,2.108153,9.633864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,2.108153,3.917775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,2.108153,1.810113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,2.108153,0.766252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,2.108153,0.454205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,2.108153,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.350896,2.000000,27150.579482,3811.102525,251.000000,209.000000,177.000000,142.000000,101.000000,66.000000,35.000000
